,name,line,lat,lng
0,ALFONS X,['L4'],41.41210363049999,2.166093401146194
1,ARC DE TRIOMF,['L1'],41.39243544631545,2.1808894924540305
2,ARTIGUES SANT ADRIA,['L2'],41.433742485365315,2.217140685502912
3,AVINGUDA CARRILET,['L1'],41.35850375545974,2.1027907439552087
4,BAC DE RODA,['L2'],41.415234777699915,2.1954306279867475
5,BADAL,['L5'],41.37561884950097,2.1267643062988593
6,BADALONA POMPEU FABRA,['L2'],41.449141712039626,2.244211818226918
7,BARCELONETA,['L4'],41.3824651834948,2.185737957903844
8,BARO DE VIVER,['L1'],41.44997879914544,2.1999478656571227
9,BELLVITGE,['L1'],41.35122284265875,2.1107851639532984
10,BESOS,['L4'],41.42030091503714,2.2103191688956847
11,BESOS MAR,['L4'],41.415026158016964,2.2161440295826638
12,BOGATELL,['L4'],41.39523794751873,2.1920132613205117
13,BON PASTOR,['L9'],41.436128356199205,2.2050054752492385
14,CAMP DE L'ARPA,['L5'],41.41505380014106,2.1812676595297265
15,CAN BOIXERES,['L5'],41.366110988229806,2.0910248115470544
16,CAN CUIAS,['L11'],41.46274731131344,2.1715809381062816
17,CAN PEIXAUET,['L9'],41.444255156400644,2.210133119463337
18,CAN SERRA,['L1'],41.36804919659675,2.1036107403460957
19,CAN VIDALET,['L5'],41.371457711896845,2.099565624479311
20,CAN ZAM,['L9'],41.45726270429347,2.198552832214578
21,CANYELLES,['L3'],41.4418559159725,2.1658783302852416
22,CASA DE L'AIGUA,['L11'],41.45150174637125,2.185393809550467
23,CATALUNYA,"['L3', 'L1']",41.38685454385494,2.1697124030374733
24,CIUTADELLA VILA OLIMPICA,['L4'],41.38810166726133,2.193079639383228
25,CIUTAT MERIDIANA,['L11'],41.460898214800494,2.1744757909026324
26,CLOT,"['L1', 'L2']",41.41003407031166,2.1869944497643807
27,COLLBLANC,['L5'],41.37583356311007,2.120033130279633
28,CONGRES,['L5'],41.42350267590062,2.181507292976976
29,CORNELLA CENTRE,['L5'],41.356138307261624,2.072540966092743
30,DIAGONAL,"['L5', 'L3']",41.395411916440594,2.159810576343711
31,DRASSANES,['L3'],41.37695975057845,2.1760702110632253
32,EL CARMEL,['L5'],41.42453380597217,2.155406442156906
33,EL COLL / LA TEIXONERA,['L5'],41.421499717289926,2.14906277652584
34,EL MARESME FORUM,['L4'],41.41199856856258,2.21673881285415
35,ENCANTS,['L2'],41.40723530642321,2.182511290994811
36,ENTENCA,['L5'],41.38452975602562,2.145546983500249
37,ESGLESIA MAJOR,['L9'],41.45451214006403,2.2124152143832982
38,ESPANYA,"['L3', 'L1']",41.37506210928828,2.1495008011199306
39,FABRA I PUIG,['L1'],41.43034464176935,2.1836288668741966
40,FLORIDA,['L1'],41.36826616377622,2.11065310529923
41,FONDO,['L1'],41.4517043953673,2.217822758212952
42,FONTANA,['L3'],41.402456531208244,2.1528093011145786
43,GAVARRA,['L5'],41.3577314837969,2.0789432971374313
44,GIRONA,['L4'],41.39496915629813,2.171201903257304
45,GLORIES,['L1'],41.40266614044116,2.187549958645806
46,GORG,"['L2', 'L10']",41.440859377991714,2.234133817970619
47,HORTA,['L5'],41.42984554875383,2.1604103384617024
48,HOSPITAL CLINIC,['L5'],41.38867967966566,2.1509327584065234
49,HOSPITAL DE BELLVITGE,['L1'],41.34453874004147,2.1065539030073275
50,HOSPITAL DE SANT PAU GUINARDO,['L4'],41.41613548837902,2.1744068791758377
51,HOSTAFRANCS,['L1'],41.3753429974489,2.143582644702758
52,JAUME I,['L4'],41.383974460967785,2.178893552410217
53,JOANIC,['L4'],41.40620121102506,2.1630829522437316
54,LA PAU,"['L4', 'L2']",41.423762503343696,2.206384959848107
55,LA SAGRERA,"['L5', 'L1', 'L9']",41.42181705592508,2.1868471239553373
56,LA SALUT,['L10'],41.44235584998528,2.224026747506055
57,LES CORTS,['L3'],41.38425887973887,2.13097425279587
58,LESSEPS,['L3'],41.406364345105324,2.149984246975518
59,LICEU,['L3'],41.381128477656254,2.173279717659826
60,LLACUNA,['L4'],41.399150944428534,2.197356197574308
61,LLEFIA,['L10'],41.44148501697861,2.2172458603128637
62,LLUCMAJOR,['L4'],41.43718146672481,2.1735036229411198
63,MARAGALL,"['L4', 'L5']",41.42479254657999,2.17686865459307
64,MARIA CRISTINA,['L3'],41.38819799466597,2.126700286011075
65,MARINA,['L1'],41.39553447037634,2.186783179770672
66,MERCAT NOU,['L1'],41.373499916177224,2.133856299128427
67,MONTBAU,['L3'],41.43068749444811,2.145003126231366
68,MONUMENTAL,['L2'],41.400208780977884,2.1798826500358586
69,MUNDET,['L3'],41.43522113085023,2.1477190016442504
70,NAVAS,['L1'],41.41623890069963,2.1872055025842605
71,ONZE DE SETEMBRE,['L9'],41.42975784125333,2.193135139630181
72,PALAU REIAL,['L3'],41.38595279967305,2.1179208315007547
73,PARAL*LEL,"['L3', 'L2']",41.37502662592923,2.1691368271825042
74,PASSEIG DE GRACIA,"['L4', 'L3', 'L2']",41.39097913549816,2.1663543077808334
75,PENITENTS,['L3'],41.417629158950966,2.1409050836193617
76,PEP VENTURA,['L2'],41.44490271780263,2.238668094417023
77,PLACA DE SANTS,"['L5', 'L1']",41.375435888879416,2.1371646023550253
78,PLACA DEL CENTRE,['L3'],41.38243381926342,2.1363823060957223
79,POBLE SEC,['L3'],41.37513828549345,2.1600898815450993
80,POBLENOU,['L4'],41.40347007685699,2.2030364077073976
81,PUBILLA CASES,['L5'],41.37374014684011,2.1074291177204767
82,RAMBLA JUST OLIVERAS,['L1'],41.363650367760364,2.100225855059076
83,ROCAFORT,['L1'],41.379213739835976,2.154584656900659
84,ROQUETES,['L3'],41.44730598777487,2.176104305481065
85,SAGRADA FAMILIA,"['L5', 'L2']",41.40402612102231,2.174405712170901
86,SANT ANDREU,['L1'],41.43719739616364,2.1909693436376623
87,SANT ANTONI,['L2'],41.37970739858339,2.163126940810858
88,SANT ILDEFONS,['L5'],41.36311632075622,2.0842466818005394
89,SANT MARTI,['L2'],41.41913234422615,2.20065520097355
90,SANT PAU DOS DE MAIG,['L5'],41.4108095510908,2.1759961507519545
91,SANT ROC,['L2'],41.4355848022166,2.228146677266294
92,SANTA COLOMA,['L1'],41.451512695617176,2.2077310315101806
93,SANTA EULALIA,['L1'],41.36905178530873,2.1292857066701614
94,SANTA ROSA,['L9'],41.44669333746421,2.215910830603854
95,SANTS ESTACIO,"['L5', 'L3']",41.381025701922326,2.140659066504171
96,SELVA DE MAR,['L4'],41.40809588330641,2.2093497903272312
97,SINGUERLIN,['L9'],41.45937552702093,2.2057828445594554
98,TARRAGONA,['L3'],41.37851647105498,2.1453319581667953
99,TETUAN,['L2'],41.394631140115244,2.1749198082027346
100,TORRAS I BAGES,['L1'],41.44335886236097,2.19061900741171
101,TORRASSA,['L1'],41.36850617722711,2.116958611516002
102,TORRE BARO VALLBONA,['L11'],41.459418357845415,2.179852357245873
103,TRINITAT NOVA,"['L4', 'L3']",41.44929663932419,2.1835124448918255
104,TRINITAT VELLA,['L1'],41.449262471655395,2.1943722693875
105,UNIVERSITAT,"['L1', 'L2']",41.38529773189249,2.1639650004431465
106,URGELL,['L1'],41.38254333710346,2.1591359418590397
107,URQUINAONA,"['L4', 'L1']",41.38899046141705,2.1736251196458825
108,VALL D'HEBRON,"['L5', 'L3']",41.42509719220759,2.1422504311169424
109,VALLCARCA,['L3'],41.411547607901646,2.1449179967069645
110,VALLDAURA,['L3'],41.43785872635584,2.15670153377908
111,VERDAGUER,"['L4', 'L5']",41.39935453339275,2.167554575290195
112,VERNEDA,['L2'],41.430106309266876,2.209937833179423
113,VIA JULIA,['L4'],41.44382801685661,2.1787326433910152
114,VILAPICINA,['L5'],41.43058822722123,2.167557320347705
115,VIRREI AMAT,['L5'],41.429827679322145,2.1748074120237684
116,ZONA UNIVERSITARIA,['L3'],41.38433803259673,2.111244193700296
