L4;0.531035874393,0.79943527887,0.341316904372,0.817081425696,0.785155917654,0.719117379856,0.666392617549,0.800174694793,0.938583604196,0.673254526575,0.749771465542,0.724367006767,0.638499403409,0.597162900837,0.870105550154,0.714602451364,0.896960528947,0.989796247583,1.41266424077,0.881503662823,0.748992318482
L2;0.775319170539,0.626919950585,0.671449428795,0.907208461696,0.777518578614,0.667997651217,0.841011936375,0.523096246501,0.978357459085,0.652163546311,0.741045197886,0.778635237542,0.778489604428,1.03501664487,0.804563104881,0.612386428425,0.692150931508
L10;0.942095901627,0.629477385067
L5;0.644183138576,0.787967101712,0.732875981449,1.01342670446,0.795421493802,1.2289619885,0.64452398744,0.995491187201,0.705726089427,0.607307548729,0.689350619196,1.12617612356,0.852717070978,0.828463595319,0.769139103767,0.682536746864,0.914434961913,0.53042024963,0.453873671307,0.591711691293,0.675632213755,0.665921778892,0.750979830327,0.679106941994,0.748647805932
L3;0.660170370456,0.870940058244,0.597600595132,0.553680836872,0.436809553694,0.52617794064,0.553671468945,1.01364112654,0.866087961557,0.697304404025,0.534807955168,0.721817684979,0.558658598985,0.791812309247,1.02483105562,0.509395605042,0.746976108422,0.773365601637,0.840037690164,0.672024850242,0.563127326252,0.877454388948,0.953001367248,1.11538284604,0.711839481273
L1;0.849703286963,1.12040809933,0.623680187717,0.587809070843,0.677291387303,0.606546872064,1.18591618975,0.661110054121,0.383052810729,0.614328190876,0.567323138748,0.670437695202,0.570660774199,0.552532842207,0.57332080085,0.441104987362,0.788252395055,0.655670162992,0.796545511546,0.821192108987,0.690444291064,0.621354521607,0.994341003287,1.01950229456,0.686093509432,0.740948201192,0.514909946304,0.729789105875,0.919721262983
L9;1.05835130911,1.30466302395,1.01923839422,0.594170136886,0.92624390285,0.809355177072,0.696474511808
L11;0.332971201442,0.513987066034,1.0143588274
