,lng,lat,type,line,name,utm
0,2.099720795414203,41.36366931030005,METRO,L1,RAMBLA JUST OLIVERAS,"(762916.6861199001, 232282.06339075317, 37, 'N')"
1,2.1026719363069075,41.357413925832994,METRO,L1,AVINGUDA CARRILET,"(762219.9967399099, 232607.48343735904, 37, 'N')"
2,2.1032371234488694,41.367656549619376,METRO,L1,CAN SERRA,"(763359.8600517657, 232671.7336627655, 37, 'N')"
3,2.1064115174131994,41.344729421498144,METRO,L1,HOSPITAL DE BELLVITGE,"(760807.6578033983, 233019.04623266342, 37, 'N')"
4,2.1099004439432902,41.351536228563305,METRO,L1,BELLVITGE,"(761564.6322345928, 233406.1508011591, 37, 'N')"
5,2.1103983831445907,41.36788261034843,METRO,L1,FLORIDA,"(763383.815357949, 233463.9961123591, 37, 'N')"
6,2.116492505822652,41.36875140909515,METRO,L1,TORRASSA,"(763479.4802308296, 234138.3146120794, 37, 'N')"
7,2.128700249487688,41.3684523810948,METRO,L1,SANTA EULÀLIA,"(763444.1310262461, 235488.7631034268, 37, 'N')"
8,2.134033769887964,41.37355257505901,METRO,L1,MERCAT NOU,"(764010.8441916148, 236079.6667645123, 37, 'N')"
9,2.138495928519069,41.37555171489993,METRO,L1,PLAÇA DE SANTS,"(764232.5735864124, 236573.64570833315, 37, 'N')"
10,2.1439936858834483,41.375301030654065,METRO,L1,HOSTAFRANCS,"(764203.7313092881, 237181.8030408669, 37, 'N')"
11,2.14880315861726,41.37538914994662,METRO,L1,ESPANYA,"(764212.7117921459, 237713.87596566667, 37, 'N')"
12,2.1544588292029307,41.37915867062782,METRO,L1,ROCAFORT,"(764631.2585670045, 238340.20081935538, 37, 'N')"
13,2.1590005563069985,41.38246663059239,METRO,L1,URGELL,"(764998.6255482945, 238843.21670470617, 37, 'N')"
14,2.164165294708132,41.3855603187335,METRO,L1,UNIVERSITAT,"(765342.034198954, 239415.12075027343, 37, 'N')"
15,2.169509918633687,41.387634325742226,METRO,L1,CATALUNYA,"(765571.9245844826, 240006.74934422504, 37, 'N')"
16,2.1730926890619284,41.38952926723825,METRO,L1,URQUINAONA,"(765782.1912864821, 240403.43782626887, 37, 'N')"
17,2.180063901543007,41.39239609836004,METRO,L1,ARC DE TRIOMF,"(766100.0250178715, 241175.15736868474, 37, 'N')"
18,2.183326561055759,41.43046839524972,METRO,L1,FABRA I PUIG,"(770336.6560703225, 241542.89838591847, 37, 'N')"
19,2.1868447449197923,41.395583338637216,METRO,L1,MARINA,"(766453.5451749489, 241925.87745369808, 37, 'N')"
20,2.187088376896928,41.41616510445557,METRO,L1,NAVAS,"(768744.1069884961, 241956.50296248795, 37, 'N')"
21,2.187200971395667,41.42250112654303,METRO,L1,LA SAGRERA,"(769449.2482862736, 241970.09640156, 37, 'N')"
22,2.1875152217557448,41.402707913413394,METRO,L1,GLÒRIES,"(767246.3373359953, 242001.31950521516, 37, 'N')"
23,2.1875330544687532,41.41122717519894,METRO,L1,CLOT,"(768194.4681861982, 242004.81358958766, 37, 'N')"
24,2.1906678039285583,41.44381638759569,METRO,L1,TORRAS I BAGES,"(771820.908471245, 242357.48850419995, 37, 'N')"
25,2.1907498188635453,41.437333832738396,METRO,L1,SANT ANDREU,"(771099.4143996519, 242365.38652670945, 37, 'N')"
26,2.1943862258757627,41.449548137707424,METRO,L1,TRINITAT VELLA,"(772458.1562112486, 242769.91115416944, 37, 'N')"
27,2.1996659250064075,41.449905410119094,METRO,L1,BARÓ DE VIVER,"(772496.9611327882, 243354.0862009524, 37, 'N')"
28,2.2071631887081646,41.451453481446,METRO,L1,SANTA COLOMA,"(772667.8895074119, 244183.8163832042, 37, 'N')"
29,2.2170668923426136,41.45177007057777,METRO,L1,FONDO,"(772701.3134864885, 245279.55443408724, 37, 'N')"
30,2.2172458603128637,41.44148501697861,METRO,L10,LLEFIÀ,"(771556.6155012948, 245297.46202315495, 37, 'N')"
31,2.224026747506055,41.44235584998528,METRO,L10,LA SALUT,"(771652.2938314693, 246047.80900653094, 37, 'N')"
32,2.171580937086336,41.46274730921614,METRO,L11,CAN CUIÀS,"(773931.3118577166, 240249.2783174683, 37, 'N')"
33,2.179852354840731,41.45941835937983,METRO,L11,TORRE BARÓ VALLBONA,"(773559.3120778466, 241163.77447650224, 37, 'N')"
34,2.163017740885345,41.379962458171526,METRO,L2,SANT ANTONI,"(764719.2322560913, 239287.1908636779, 37, 'N')"
35,2.163254343247597,41.38502492641775,METRO,L2,UNIVERSITAT,"(765282.6072949318, 239314.25043537744, 37, 'N')"
36,2.167581431967113,41.375100692262244,METRO,L2,PARAL·LEL,"(764177.3635510011, 239791.2105578828, 37, 'N')"
37,2.168332839441089,41.38954251126039,METRO,L2,PASSEIG DE GRÀCIA,"(765784.4975563597, 239876.8665385121, 37, 'N')"
38,2.1745933931711248,41.39463370568517,METRO,L2,TETUAN,"(766350.0153113513, 240570.3585178986, 37, 'N')"
39,2.1763176709301346,41.404266189522026,METRO,L2,SAGRADA FAMÍLIA,"(767421.7423508542, 240762.8188793328, 37, 'N')"
40,2.180039956117605,41.40009650219717,METRO,L2,MONUMENTAL,"(766957.0276075919, 241173.8725430926, 37, 'N')"
41,2.1825600197345625,41.407347704861024,METRO,L2,ENCANTS,"(767763.5915102761, 241453.9549907722, 37, 'N')"
42,2.1865570036639186,41.41010979393296,METRO,L2,CLOT,"(768070.2845994305, 241896.63335516484, 37, 'N')"
43,2.1950151573183967,41.41529209000692,METRO,L2,BAC DE RODA,"(768645.5317742699, 242833.28881698806, 37, 'N')"
44,2.200603658506352,41.419315578421774,METRO,L2,SANT MARTÍ,"(769092.3172015608, 243452.2724204996, 37, 'N')"
45,2.206691648141516,41.42383621252897,METRO,L2,LA PAU,"(769594.3368293939, 244126.61003387888, 37, 'N')"
46,2.2096349055259066,41.430308879013694,METRO,L2,VERNEDA,"(770314.1681596918, 244453.40291617104, 37, 'N')"
47,2.2168050533555337,41.43388850425456,METRO,L2,ARTIGUES SANT ADRIÀ,"(770711.2547324235, 245247.30224046935, 37, 'N')"
